"P_000736","P_000737","P_000646","P_000647","P_000648","P_001886","P_001887","P_002539","P_002540","P_002521","P_002522","P_002547","P_002548","P_000733","P_002440","P_000687","P_000690","P_000691","P_000721","P_000720","P_000744","P_000745","P_000753","P_002441","P_000500","P_000501","VAL_0","VAL_1","VAL_2","VAL_3"
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"9145",REND. DE APLIC. FINANCEIRA - FT 749 - FEM,"1321",JUROS E CORREÇÕES MONETÁRIAS,"1321010",REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS,"132101",REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS,VALORES MOBILIÁRIOS,"2",2024,"749",OUTRAS VINCULAÇÕES DE TRANSFERÊNCIAS,Abril,4,"13210101",REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL,RECEITA PATRIMONIAL,"3","560100",FUNDO MUNI. DE INVEST EM INFRA URBANA EDUC. SAÚDE MEIO AMB. SUSTENTABILIDADE SEG. E DESENV,,0,9479.81,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"5321",JUROS DE MORA ISS FONTE DSR-E - EXERCÍCIO ANTERIOR,"1114",IMPOSTOS SOBRE A PRODUÇÃO E CIRCULAÇÃO DE MERCADORIAS E SERVIÇOS,"1114511",IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA - ISSQN,"111451",IMPOSTOS SOBRE SERVIÇOS,IMPOSTOS,"1",2024,"500",RECURSOS NÃO VINCULADOS DE IMPOSTOS,Maio,5,"11145112",IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA - ISSQN - MULTAS E JUROS,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA","1","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,22317.35,
"1",RECEITAS CORRENTES,"621390101",(-) RESTITUIÇÕES DE RECEITA REALIZADA,D,"6266",REC. DE HONORÁRIOS ADVOCATÍCIOS - 20% (VINTE POR CENTO),"1999",OUTRAS RECEITAS CORRENTES,"1999122",ÔNUS DE SUCUMBÊNCIA,"199912",ENCARGOS LEGAIS PELA INSCRIÇÃO EM DÍVIDA ATIVA E RECEITAS DE ÔNUS DE SUCUMBÊNCIA,DEMAIS RECEITAS CORRENTES,"9",2024,"501",OUTROS RECURSOS NÃO VINCULADOS,Maio,5,"19991221",ÔNUS DE SUCUMBÊNCIA - PRINCIPAL,OUTRAS RECEITAS CORRENTES,"9","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,631.58,0,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"6279",HONORÁRIOS ADVOCATÍCIOS - PROTESTO - 10% (PARCELAMENTO)),"1999",OUTRAS RECEITAS CORRENTES,"1999122",ÔNUS DE SUCUMBÊNCIA,"199912",ENCARGOS LEGAIS PELA INSCRIÇÃO EM DÍVIDA ATIVA E RECEITAS DE ÔNUS DE SUCUMBÊNCIA,DEMAIS RECEITAS CORRENTES,"9",2024,"501",OUTROS RECURSOS NÃO VINCULADOS,Agosto,8,"19991221",ÔNUS DE SUCUMBÊNCIA - PRINCIPAL,OUTRAS RECEITAS CORRENTES,"9","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,262192.54,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"1342",ISS FONTE HOMOLOGADO - COMPETÊNCIA EX. ANTERIORES,"1114",IMPOSTOS SOBRE A PRODUÇÃO E CIRCULAÇÃO DE MERCADORIAS E SERVIÇOS,"1114511",IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA - ISSQN,"111451",IMPOSTOS SOBRE SERVIÇOS,IMPOSTOS,"1",2024,"500",RECURSOS NÃO VINCULADOS DE IMPOSTOS,Agosto,8,"11145111",IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA - ISSQN - PRINCIPAL,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA","1","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,1570.98,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"2245",TAXA LIC P/INST OU UTIL DE MAQ MOT ETC - PARCELAMENTO ADMINISTRATIVO,"1121",TAXAS PELO EXERCÍCIO DO PODER DE POLÍCIA,"1121010","TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO","112101","TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO",TAXAS,"2",2024,"753",RECURSOS PROVENIENTES DE TAXAS E CONTRIBUIÇÕES,Julho,7,"11210101","TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO - PRINCIPAL","IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA","1","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,1058.48,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"2232",TAXA DE LIC P/UTIL DE MEIOS DE PUBLICIDADE - EXERCÍCIO ANTERIOR,"1121",TAXAS PELO EXERCÍCIO DO PODER DE POLÍCIA,"1121010","TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO","112101","TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO",TAXAS,"2",2024,"753",RECURSOS PROVENIENTES DE TAXAS E CONTRIBUIÇÕES,Julho,7,"11210101","TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO - PRINCIPAL","IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA","1","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,128.04,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"2142",TRSD - TAXA DE COLETA - EXERCÍCIO ANTERIOR,"1122",TAXAS PELA PRESTAÇÃO DE SERVIÇOS,"1122010",TAXAS PELA PRESTAÇÃO DE SERVIÇOS EM GERAL,"112201",TAXAS PELA PRESTAÇÃO DE SERVIÇOS EM GERAL,TAXAS,"2",2024,"753",RECURSOS PROVENIENTES DE TAXAS E CONTRIBUIÇÕES,Setembro,9,"11220101",TAXAS PELA PRESTAÇÃO DE SERVIÇOS EM GERAL - PRINCIPAL,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA","1","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,4874028.85,1491842.92,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"1366",ISS PRÓPRIO AUTO/NOTIFICAÇÃO - PARCELAMENTO DÍVIDA ATIVA JUDICIAL,"1114",IMPOSTOS SOBRE A PRODUÇÃO E CIRCULAÇÃO DE MERCADORIAS E SERVIÇOS,"1114511",IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA - ISSQN,"111451",IMPOSTOS SOBRE SERVIÇOS,IMPOSTOS,"1",2024,"500",RECURSOS NÃO VINCULADOS DE IMPOSTOS,Setembro,9,"11145113",IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA - ISSQN - DÍVIDA ATIVA,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA","1","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,384260.84,
"1",RECEITAS CORRENTES,"621390101",(-) RESTITUIÇÕES DE RECEITA REALIZADA,D,"5511",JUROS S/TAXA DE SERVIÇOS - EXERCÍCIO,"1122",TAXAS PELA PRESTAÇÃO DE SERVIÇOS,"1122010",TAXAS PELA PRESTAÇÃO DE SERVIÇOS EM GERAL,"112201",TAXAS PELA PRESTAÇÃO DE SERVIÇOS EM GERAL,TAXAS,"2",2024,"753",RECURSOS PROVENIENTES DE TAXAS E CONTRIBUIÇÕES,Setembro,9,"11220102",TAXAS PELA PRESTAÇÃO DE SERVIÇOS EM GERAL - MULTAS E JUROS,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA","1","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,16.1,0,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"6177",RECEITAS DE APLIC. FINANC. - CONVÊNIOS URB - FT 700 -15.01,"1321",JUROS E CORREÇÕES MONETÁRIAS,"1321010",REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS,"132101",REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS,VALORES MOBILIÁRIOS,"2",2024,"700",OUTRAS TRANSF. CONV. OU INSTRUM. CONGÊNERES - UNIÃO,Setembro,9,"13210101",REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL,RECEITA PATRIMONIAL,"3","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,290149.22,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"5556",JUROS SOBRE TAXA DE VIGILÂNCIA SANITÁRIA - DÍVIDA ATIVA ADMINISTRATIVA - FT 501,"1121",TAXAS PELO EXERCÍCIO DO PODER DE POLÍCIA,"1121500",TAXA DE FISCALIZAÇÃO DE VIGILÂNCIA SANITÁRIA,"112150",TAXA DE FISCALIZAÇÃO DE VIGILÂNCIA SANITÁRIA,TAXAS,"2",2024,"501",OUTROS RECURSOS NÃO VINCULADOS,Fevereiro,2,"11215004",TAXA DE FISCALIZAÇÃO DE VIGILÂNCIA SANITÁRIA - DÍVIDA ATIVA - MULTAS E JUROS,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA","1","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,29668.49,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"1121",IPTU PREDIAL - EXERCÍCIO,"1112",IMPOSTOS SOBRE O PATRIMÔNIO,"1112500",IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA,"111250",IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA,IMPOSTOS,"1",2024,"500",RECURSOS NÃO VINCULADOS DE IMPOSTOS,Março,3,"11125001",IMPOSTO SOBRE A PROPRIEDADE PREDIAL E TERRITORIAL URBANA - PRINCIPAL,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA","1","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,38120861.98,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"6314",COTA-PARTE DO IMPOSTO TERRITORIAL RURAL - ITR,"1711",TRANSFERÊNCIAS DECORRENTES DE PARTICIPAÇÃO NA RECEITA DA UNIÃO,"1711520",COTA-PARTE DO IMPOSTO SOBRE A PROPRIEDADE TERRITORIAL RURAL,"171152",COTA-PARTE DO IMPOSTO SOBRE A PROPRIEDADE TERRITORIAL RURAL,TRANSFERÊNCIAS DA UNIÃO E DE SUAS ENTIDADES,"1",2024,"500",RECURSOS NÃO VINCULADOS DE IMPOSTOS,Março,3,"17115201",COTA-PARTE DO IMPOSTO SOBRE A PROPRIEDADE TERRITORIAL RURAL - PRINCIPAL,TRANSFERÊNCIAS CORRENTES,"7","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,778042.08,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"6290",SERVIÇOS DE ATEND. MÓVEL AS URGÊNCIAS - SAMU 192,"1713",TRANSFERÊNCIAS DE RECURSOS DO SISTEMA ÚNICO DE SAÚDE - SUS ,"1713502",TRANSFERÊNCIAS DE RECURSOS DO BLOCO DE MANUTENÇÃO DAS AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE - ATENÇÃO ESPECIALIZADA,"171350",TRANSFERÊNCIAS DE RECURSOS DO SISTEMA ÚNICO DE SAÚDE - SUS - REPASSES FUNDO A FUNDO - BLOCO DE MANUTENÇÃO DAS AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE,TRANSFERÊNCIAS DA UNIÃO E DE SUAS ENTIDADES,"1",2024,"600",TRANSF. FUNDO A FUNDO SUS GOV. FED. - BL. MANUTENÇÃO SERV. SAÚDE,Abril,4,"17135021",TRANSFERÊNCIAS DE RECURSOS DO BLOCO DE MANUTENÇÃO DAS AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE - ATENÇÃO ESPECIALIZADA - PRINCIPAL,TRANSFERÊNCIAS CORRENTES,"7","480100",FUNDO MUNICIPAL DE SAÚDE - FMS,,0,1185161.25,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"6444",TRANSFERÊNCIA DO FUNDEB - ITR,"1751",TRANSF. REC. FUNDO DE MANUT. E DES. DA EDUC. BÁSICA E VALORIZ. DOS PROFISSIONAIS DA EDUC. - FUNDEB,"1751500",TRANSF. DE RECURSOS DO FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA E DE VALORIZAÇÃO DOS PROFISSIONAIS DA EDUCAÇÃO - FUNDEB,"175150",TRANSF. DE RECURSOS DO FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA E DE VALORIZAÇÃO DOS PROFISSIONAIS DA EDUCAÇÃO - FUNDEB,TRANSFERÊNCIAS DE OUTRAS INSTITUIÇÕES PÚBLICAS,"5",2024,"540",TRANSFERÊNCIAS DO FUNDEB - IMPOSTOS E TRANSFERÊNCIAS DE IMPOSTOS,Junho,6,"17515001",TRANSF. DE RECURSOS DO FUNDO DE MANUT. E DESENV. DA EDUCAÇÃO BÁSICA E DE VALORIZAÇÃO DOS PROFISSIONAIS DA EDUCAÇÃO - FUNDEB - PRINCIPAL,TRANSFERÊNCIAS CORRENTES,"7","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,1903.24,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"6636",RECEITA PELA COMPENSAÇÃO FINANCEIRA ENTRE RGPS E RPPS,"1999",OUTRAS RECEITAS CORRENTES,"1999030",COMPENSAÇÕES FINANCEIRAS ENTRE OS REGIMES DE PREVIDÊNCIA,"199903",COMPENSAÇÕES FINANCEIRAS ENTRE OS REGIMES DE PREVIDÊNCIA,DEMAIS RECEITAS CORRENTES,"9",2024,"801",RECURSOS VINC. AO RPPS - FUNDO REP. (PLANO FINANC.),Abril,4,"19990301",COMPENSAÇÕES FINANCEIRAS ENTRE OS REGIMES DE PREVIDÊNCIA - PRINCIPAL,OUTRAS RECEITAS CORRENTES,"9","610300",FUNDO FINANCEIRO - RECIFIN,,0,2712176.14,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"6025",RESTITUIÇÃO DE DESPESAS DE PESSOAL - EXERCÍCIO ANTERIOR,"1922",RESTITUIÇÕES,"1922063",RESTITUIÇÃO DE DESPESAS PRIMÁRIAS DE EXERCÍCIOS ANTERIORES,"192206",RESTITUIÇÃO DE DESPESAS DE EXERCÍCIOS ANTERIORES,"INDENIZAÇÕES, RESTITUIÇÕES E RESSARCIMENTOS","2",2024,"501",OUTROS RECURSOS NÃO VINCULADOS,Junho,6,"19220631",RESTITUIÇÃO DE DESPESAS PRIMÁRIAS DE EXERCÍCIOS ANTERIORES - PRINCIPAL,OUTRAS RECEITAS CORRENTES,"9","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,13503.69,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"2141","TAXA DE COLETA, REMOÇÃO E DEST. RESÍDUOS SÓLIDOS - TRSD EXERCÍCIO","1122",TAXAS PELA PRESTAÇÃO DE SERVIÇOS,"1122010",TAXAS PELA PRESTAÇÃO DE SERVIÇOS EM GERAL,"112201",TAXAS PELA PRESTAÇÃO DE SERVIÇOS EM GERAL,TAXAS,"2",2024,"753",RECURSOS PROVENIENTES DE TAXAS E CONTRIBUIÇÕES,Julho,7,"11220101",TAXAS PELA PRESTAÇÃO DE SERVIÇOS EM GERAL - PRINCIPAL,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA","1","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,5694486.44,18981621.44,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"9420",ANÁLISE PROJ. P/CONSTR./REFORMA - CEMITÉRIO TEJIPIÓ - FT 899 - 15.01,"1699",OUTROS SERVIÇOS,"1699990",OUTROS SERVIÇOS,"169999",OUTROS SERVIÇOS,OUTROS SERVIÇOS,"9",2024,"899",OUTROS RECURSOS VINCULADOS,Julho,7,"16999901",OUTROS SERVIÇOS - PRINCIPAL,RECEITA DE SERVIÇOS,"6","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,144.54,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"9150",RENDIMENTOS DE APLICAÇÃO - FT 659 - 15.01,"1321",JUROS E CORREÇÕES MONETÁRIAS,"1321010",REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS,"132101",REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS,VALORES MOBILIÁRIOS,"2",2024,"659",OUTROS RECURSOS VINCULADOS À SAÚDE,Agosto,8,"13210101",REMUNERAÇÃO DE DEPÓSITOS BANCÁRIOS - PRINCIPAL,RECEITA PATRIMONIAL,"3","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,628.19,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"3004",MULTA POR INFRAÇÃO SDMAS - PARCELAMENTO ADMINISTRATIVO,"1911","MULTAS ADMINISTRATIVAS, CONTRATUAIS E JUDICIAIS","1911061",MULTAS ADMINISTRATIVAS POR DANOS AMBIENTAIS,"191106",MULTAS POR DANOS AMBIENTAIS,"MULTAS ADMINISTRATIVAS, CONTRATUAIS E JUDICIAIS","1",2024,"753",RECURSOS PROVENIENTES DE TAXAS E CONTRIBUIÇÕES,Setembro,9,"19110611",MULTAS ADMINISTRATIVAS POR DANOS AMBIENTAIS - PRINCIPAL,OUTRAS RECEITAS CORRENTES,"9","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,6934.81,14757.41,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"2224",TAXA DE LICENÇA DE FUNCIONAMENTO - DÍVIDA ATIVA JUDICIAL,"1121",TAXAS PELO EXERCÍCIO DO PODER DE POLÍCIA,"1121010","TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO","112101","TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO",TAXAS,"2",2024,"753",RECURSOS PROVENIENTES DE TAXAS E CONTRIBUIÇÕES,Setembro,9,"11210103","TAXAS DE INSPEÇÃO, CONTROLE E FISCALIZAÇÃO - DÍVIDA ATIVA","IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA","1","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,37116.51,
"1",RECEITAS CORRENTES,"621210101",RECEITA REALIZADA,C,"5320",JUROS DE MORA ISS FONTE DSR-E - EXERCÍCIO,"1114",IMPOSTOS SOBRE A PRODUÇÃO E CIRCULAÇÃO DE MERCADORIAS E SERVIÇOS,"1114511",IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA - ISSQN,"111451",IMPOSTOS SOBRE SERVIÇOS,IMPOSTOS,"1",2024,"500",RECURSOS NÃO VINCULADOS DE IMPOSTOS,Outubro,10,"11145112",IMPOSTO SOBRE SERVIÇOS DE QUALQUER NATUREZA - ISSQN - MULTAS E JUROS,"IMPOSTOS, TAXAS E CONTRIBUIÇÕES DE MELHORIA","1","150100",SECRETARIA DE FINANÇAS - ADMINISTRAÇÃO DIRETA,,0,4306.94,
